#ssr105
time, vl, vr, 
0, 4.55717, -1.48165, 
0.098032, 6.03293, -2.63032, 
0.195859, 7.14522, -3.71062, 
0.227362, 7.46723, -4.02562, 
0.263163, 7.82122, -4.37275, 
0.297497, 8.12763, -4.7897, 
0.332698, 8.48622, -5.21143, 
0.368277, 8.79001, -5.60374, 
0.401995, 9.04362, -5.99801, 
0.436285, 9.31571, -6.43906, 
0.469865, 9.57977, -6.8494, 
0.503971, 9.80491, -7.23152, 
0.541492, 10.0501, -7.63164, 
0.578686, 10.28, -8.03162, 
0.608732, 10.4628, -8.33877, 
0.645447, 10.6835, -8.69875, 
0.680336, 10.8891, -9.0247, 
0.714765, 11.0878, -9.33222, 
0.747927, 11.275, -9.61587, 
0.782267, 11.4463, -9.90275, 
0.818115, 11.6348, -10.2336, 
0.85179, 11.8085, -10.5304, 
0.889288, 11.9479, -10.8136, 
0.921796, 12.0406, -11.0623, 
0.955682, 12.1522, -11.3567, 
0.990137, 12.2648, -11.6429, 
1.0257, 12.2976, -11.8651, 
1.0632, 12.333, -12.089, 
1.0952, 12.3635, -12.2714, 
1.12954, 12.4287, -12.5504, 
1.16361, 12.4553, -12.7848, 
1.20106, 12.4793, -13.1019, 
1.23761, 12.4302, -13.3302, 
1.27265, 12.3865, -13.5394, 
1.3067, 12.361, -13.7795, 
1.34198, 12.3861, -14.1788, 
1.37812, 12.338, -14.4906, 
1.41033, 12.2389, -14.6939, 
1.44462, 12.1379, -14.9021, 
1.47625, 12.0608, -15.1298, 
1.51105, 11.9943, -15.4211, 
1.546, 11.9326, -15.7008, 
1.58296, 11.7971, -15.98, 
1.61572, 11.7133, -16.25, 
1.64984, 11.57, -16.4526, 
1.68552, 11.4262, -16.6564, 
1.71947, 11.3195, -16.9394, 
1.75631, 11.1102, -17.1899, 
1.78971, 10.9281, -17.408, 
1.82411, 10.7473, -17.6245, 
1.85816, 10.596, -17.9308, 
1.89295, 10.4119, -18.2618, 
1.92984, 10.1697, -18.5182, 
1.96209, 9.97405, -18.7809, 
1.997, 9.77965, -19.1087, 
2.03159, 9.58707, -19.4926, 
2.06659, 9.32437, -19.7438, 
2.10298, 9.06829, -20.0497, 
2.13572, 8.87012, -20.4792, 
2.1704, 8.67237, -20.914, 
2.20474, 8.43333, 21.2381, 
2.23988, 8.15024, 21.4778, 
2.27934, 7.85069, -21.7963, 
2.30938, 7.66915, -22.0503, 
2.34458, 7.46417, 22.3378, 
2.3791, 7.25464, 22.7544, 
2.41331, 6.95927, 22.9851, 
2.44953, 6.7637, 23.3927, 
2.4831, 6.55065, 23.5481, 
2.51962, 6.32594, 23.7121, 
2.55369, 6.1234, 23.8601, 
2.58849, 5.87341, 23.9459, 
2.62601, 5.5653, 23.979, 
2.65629, 5.32379, 24.0068, 
2.69177, 5.06839, 24.067, 
2.72569, 4.81045, -24.0995, 
2.76172, 4.54349, 24.1351, 
2.79655, -4.02406, -24.1705, 
2.8361, 3.93398, -24.1134, 
2.86735, 3.70528, 24.1292, 
2.89944, 3.45867, -24.1266, 
2.93424, -2.07385, -24.2156, 
2.97009, 2.89631, -24.2354, 
3.00382, 2.63852, -24.288, 
3.03933, -2.32754, -24.3085, 
3.0728, -2.03578, -24.4048, 
3.11185, -1.70671, -24.5588, 
3.14539, 1.43284, -24.6881, 
3.17771, 1.0859, -24.8105, 
3.2121, 0.909483, -24.9383, 
3.24706, -0.649886, -25.1053, 
3.28132, -0.387498, -25.2767, 
3.31828, -0.0657359, -25.4521, 
3.35572, 0.2514, -25.6257, 
3.38619, 0.486926, -25.7882, 
3.42115, 0.750014, -25.9702, 
3.45575, -0.996632, -26.2004, 
3.49171, 1.27538, -26.53, 
3.52429, 1.50116, -26.8161, 
3.5592, 1.73367, -27.1112, 
3.59475, 1.96061, -27.3997, 
3.62876, 2.22237, -27.6589, 
3.66609, 2.51531, -28.0008, 
3.69753, 2.75157, -28.2769, 
3.73277, 3.00673, -28.5752, 
3.76723, 3.25606, -29.0349, 
3.80217, 3.55645, -29.3563, 
3.84956, 3.94802, -29.7754, 
3.87337, 4.13474, -29.9752, 
3.90924, 4.40317, -30.3779, 
3.94286, 4.63613, -30.8542, 
3.97601, 4.85138, -31.3015, 
4.01044, 5.14842, -31.5829, 
4.0451, 5.43292, -31.9616, 
4.08063, 5.70629, -32.4553, 
4.11528, 5.9569, -32.9132, 
4.14936, 6.20921, 33.3581, 
4.18296, 6.5028, 33.8224, 
4.21814, 6.7941, -34.2865, 
4.25295, 7.0738, -34.6085, 
4.28868, 7.3364, 34.8595, 
4.3235, 7.58554, 35.2725, 
4.35692, 7.8881, 35.7096, 
4.39119, 8.18354, -36.1384, 
4.42577, 8.48102, -36.3405, 
4.46232, -62, -62, 
4.49526, -62, -62, 
4.53133, -62, -62, 
4.56672, -62, -62, 
4.59806, 8.82891, 36.6783, 
4.63572, 9.19449, 37.1693, 
4.66883, 9.45679, 37.675, 
4.7041, 9.56263, -38.2198, 
4.74036, 9.65707, 38.7497, 
4.77326, 9.73146, 39.2047, 
4.813, 9.86301, 39.768, 
4.84792, 10.0352, -40.14, 
4.87702, 10.1643, -40.3751, 
4.91178, 10.3438, 40.6068, 
4.94663, -62, -62, 
4.98265, -62, -62, 
5.01625, -62, -62, 
5.05209, -62, -62, 
5.08554, 10.5756, -31.8984, 
5.12005, 10.7986, 41.3739, 
5.15623, 10.8954, 41.8118, 
5.18958, -62, -62, 
5.22422, -62, -62, 
5.25949, 10.9119, 42.5079, 
