#ssr105
time, distance, theta, 
0, 2.46258, 0.816814, 
0.396945, 3.9259, 0.743074, 
0.488868, 2, 0, 
0.599402, 2, 0, 
0.694509, 2, 0, 
0.733294, 2, 0, 
0.834982, 2, 0, 
0.872987, 2, 0, 
0.973419, 2, 0, 
1.08211, 2, 0, 
1.18196, 2, 0, 
1.21661, 2, 0, 
1.25077, 2, 0, 
1.35831, 2, 0, 
1.46112, 6.17075, -0.859356, 
1.56481, 2, 0, 
1.66971, 2, 0, 
1.77264, 2, 0, 
1.8095, 2, 0, 
1.91141, 6.1706, 0.887718, 
2.0168, 2, 0, 
2.11923, 2, 0, 
2.15764, 2, 0, 
2.25756, 2, 0, 
2.29531, 2, 0, 
2.39669, 2, 0, 
2.50064, 2, 0, 
2.53521, 2, 0, 
2.63882, 2, 0, 
2.67577, 2, 0, 
2.779, 6.17052, -0.904735, 
2.81604, 2, 0, 
2.91912, 2, 0, 
3.52146, 2, 0, 
3.611, 2, 0, 
3.64631, 6.17549, -0.258091, 
3.75015, 3.92577, -0.765763, 
3.78569, 2, 0, 
3.89041, 2, 0, 
3.99321, 2, 0, 
4.03201, 2, 0, 
4.13251, 6.17099, -0.813978, 
4.23577, 2, 0, 
4.27134, 6.17549, -0.258091, 
4.87611, 3.92504, 0.901899, 
4.96532, 2.46217, 0.896227, 
5.00103, 2, 0, 
5.10508, 2, 0, 
5.20735, 2, 0, 
5.24659, 2, 0, 
5.34579, 2, 0, 
5.38116, 2, 0, 
5.41915, 2, 0, 
5.52019, 2, 0, 
5.55585, 2.4633, -0.692023, 
5.65996, 2.46317, -0.714712, 
5.76717, 1.8559, 0.890554, 
5.86871, 2.46217, 0.896227, 
5.9716, 1.8559, 0.890554, 
6.01108, 1.28012, -0.788452, 
6.11237, 1.1146, -0.805469, 
6.2157, 0.988472, -0.822486, 
6.32033, 0.739009, -0.828159, 
6.42266, 0.739009, -0.828159, 
6.45808, 1.11472, -0.78278, 
6.56198, 1.28025, -0.765763, 
6.66569, 1.11498, -0.737402, 
6.77066, 1.11512, -0.714712, 
6.87442, 1.27964, 0.87921, 
6.9787, 1.1154, -0.669334, 
7.08563, 0.989402, -0.663661, 
7.18853, 0.989475, -0.652317, 
7.2928, 0.988291, 0.85652, 
